[28000/100000] batch loss : 0.8374 | time : 5.03s
[28100/100000] batch loss : 1.7625 | time : 4.94s
[28200/100000] batch loss : 1.3993 | time : 4.94s
[28300/100000] batch loss : 0.7829 | time : 4.93s
[28400/100000] batch loss : 1.5193 | time : 4.95s
[28500/100000] batch loss : 1.1138 | time : 4.95s
[28600/100000] batch loss : 1.1169 | time : 5.01s
[28700/100000] batch loss : 0.8533 | time : 4.93s
[28800/100000] batch loss : 0.3746 | time : 4.99s
[28900/100000] batch loss : 0.2744 | time : 4.93s
[29000/100000] batch loss : 0.8237 | time : 4.90s
[29100/100000] batch loss : 1.8270 | time : 4.79s
[29200/100000] batch loss : 0.7722 | time : 4.93s
[29300/100000] batch loss : 2.0736 | time : 5.00s
[29400/100000] batch loss : 1.2610 | time : 4.98s
[29500/100000] batch loss : 1.9016 | time : 4.85s
[29600/100000] batch loss : 1.0982 | time : 4.88s
[29700/100000] batch loss : 1.3777 | time : 4.97s
[29800/100000] batch loss : 0.5830 | time : 4.89s
[29900/100000] batch loss : 2.2709 | time : 5.10s
[30000/100000] batch loss : 0.8697 | time : 4.89s
[30001/100000] mean test loss : 2.1984 -> 0.3535 by 1 grad steps
A check point has been generated : checkpoints/iter_30000.pt
[30100/100000] batch loss : 0.4368 | time : 6.36s
[30200/100000] batch loss : 1.1208 | time : 4.98s
[30300/100000] batch loss : 1.2392 | time : 4.81s
[30400/100000] batch loss : 1.1215 | time : 4.96s
[30500/100000] batch loss : 3.2829 | time : 5.07s
[30600/100000] batch loss : 0.8249 | time : 5.14s
[30700/100000] batch loss : 1.8607 | time : 4.75s
[30800/100000] batch loss : 1.5829 | time : 4.69s
[30900/100000] batch loss : 1.4186 | time : 4.70s
[31000/100000] batch loss : 1.2412 | time : 4.72s
[31100/100000] batch loss : 2.1322 | time : 4.69s
[31200/100000] batch loss : 0.9324 | time : 4.69s
[31300/100000] batch loss : 1.2038 | time : 4.70s
[31400/100000] batch loss : 1.2404 | time : 4.75s
[31500/100000] batch loss : 1.2302 | time : 4.73s
[31600/100000] batch loss : 0.8072 | time : 4.71s
[31700/100000] batch loss : 0.7724 | time : 4.72s
[31800/100000] batch loss : 2.9636 | time : 4.71s
